Dependency register
Normalized edge list for eligibility calculation. Conditional exceptions are stated explicitly.
,,,,,,,,

Dependency ID,Predecessor ID,Successor ID,Relation,Hard Dependency,Required State,Condition,Source,Notes
DEP-0001,D-11,P0.1,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P0.1,
DEP-0002,D-12,P0.5,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P0.5,
DEP-0003,D-13,P0.6,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P0.6,
DEP-0004,D-14,P0.6,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P0.6,
DEP-0005,D-01,P0.7,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P0.7,
DEP-0006,D-02,P0.7,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P0.7,
DEP-0007,G0,P1.1,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.1,
DEP-0008,D-02,P1.1,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.1,
DEP-0009,G0,P1.2,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.2,
DEP-0010,P1.1,P1.2,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.2,
DEP-0011,G0,P1.3,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.3,
DEP-0012,P1.2,P1.3,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.3,
DEP-0013,G0,P1.4,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.4,
DEP-0014,P1.2,P1.4,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.4,
DEP-0015,G0,P1.5,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.5,
DEP-0016,P1.3,P1.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.5,
DEP-0017,P1.4,P1.5,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.5,
DEP-0018,G0,P1.6,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.6,
DEP-0019,P1.4,P1.6,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.6,
DEP-0020,G0,P1.7,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.7,
DEP-0021,P1.4,P1.7,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.7,
DEP-0022,G0,P1.8,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.8,
DEP-0023,P1.3,P1.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.8,
DEP-0024,P1.4,P1.8,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.8,
DEP-0025,G0,P1.9,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.9,
DEP-0026,P1.4,P1.9,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.9,
DEP-0027,G0,P1.10,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.10,
DEP-0028,P0.2,P1.10,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.10,
DEP-0029,G0,P1.11,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.11,
DEP-0030,D-09,P1.11,blocks,yes,decided,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.11,
DEP-0031,G0,P1.12,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.12,
DEP-0032,P1.11,P1.12,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.12,
DEP-0033,G0,P1.13,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.13,
DEP-0034,P1.12,P1.13,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.13,
DEP-0035,G0,P1.14,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.14,
DEP-0036,P1.13,P1.14,requires,yes,done,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P1.14,
DEP-0037,G1,P2.1,unlocks,yes,passed,May use P2.9 synthetic tracking after G0 until real-pose evidence is required.,ELTS Build Plan P2.1,
DEP-0038,G0,P2.1,unlocks,yes,passed,All listed conditions apply unless an accepted ADR states otherwise.,ELTS Build Plan P2.1,
